Ref_Date,GEO,CLS,CAPACITY,Vector,Coordinate,Value
2009,Ontario,"Electricity producer, public electric utilities",Internal combustion turbine,v53518107,7.2.10,41245.0
2010,Ontario,"Electricity producer, public electric utilities",Internal combustion turbine,v53518107,7.2.10,42545.0
2011,Ontario,"Electricity producer, public electric utilities",Internal combustion turbine,v53518107,7.2.10,44280.0
2012,Ontario,"Electricity producer, public electric utilities",Internal combustion turbine,v53518107,7.2.10,..
2013,Ontario,"Electricity producer, public electric utilities",Internal combustion turbine,v53518107,7.2.10,44280.0
2014,Ontario,"Electricity producer, public electric utilities",Internal combustion turbine,v53518107,7.2.10,41935.0
2015,Ontario,"Electricity producer, public electric utilities",Internal combustion turbine,v53518107,7.2.10,43035.0
2006,Ontario,"Electricity producer, private electric utilities",Total installed capacity,v53518114,7.3.1,9090270.0
2007,Ontario,"Electricity producer, private electric utilities",Total installed capacity,v53518114,7.3.1,8940370.0
2008,Ontario,"Electricity producer, private electric utilities",Total installed capacity,v53518114,7.3.1,9160220.0
2009,Ontario,"Electricity producer, private electric utilities",Total installed capacity,v53518114,7.3.1,10462750.0
2010,Ontario,"Electricity producer, private electric utilities",Total installed capacity,v53518114,7.3.1,10552746.0
2011,Ontario,"Electricity producer, private electric utilities",Total installed capacity,v53518114,7.3.1,11480716.0
2012,Ontario,"Electricity producer, private electric utilities",Total installed capacity,v53518114,7.3.1,..
2013,Ontario,"Electricity producer, private electric utilities",Total installed capacity,v53518114,7.3.1,13552256.0
2014,Ontario,"Electricity producer, private electric utilities",Total installed capacity,v53518114,7.3.1,14636956.0
2015,Ontario,"Electricity producer, private electric utilities",Total installed capacity,v53518114,7.3.1,15229958.0
2006,Ontario,"Electricity producer, private electric utilities",Hydraulic turbine,v53518116,7.3.2,986235.0
2007,Ontario,"Electricity producer, private electric utilities",Hydraulic turbine,v53518116,7.3.2,986435.0
2008,Ontario,"Electricity producer, private electric utilities",Hydraulic turbine,v53518116,7.3.2,995535.0
2009,Ontario,"Electricity producer, private electric utilities",Hydraulic turbine,v53518116,7.3.2,1000595.0
2010,Ontario,"Electricity producer, private electric utilities",Hydraulic turbine,v53518116,7.3.2,1001491.0
2011,Ontario,"Electricity producer, private electric utilities",Hydraulic turbine,v53518116,7.3.2,1009841.0
2012,Ontario,"Electricity producer, private electric utilities",Hydraulic turbine,v53518116,7.3.2,..
2013,Ontario,"Electricity producer, private electric utilities",Hydraulic turbine,v53518116,7.3.2,996491.0
2014,Ontario,"Electricity producer, private electric utilities",Hydraulic turbine,v53518116,7.3.2,1033491.0
2015,Ontario,"Electricity producer, private electric utilities",Hydraulic turbine,v53518116,7.3.2,1036741.0
2006,Ontario,"Electricity producer, private electric utilities",Wind power turbine,v53518117,7.3.3,410529.0
2007,Ontario,"Electricity producer, private electric utilities",Wind power turbine,v53518117,7.3.3,599529.0
2008,Ontario,"Electricity producer, private electric utilities",Wind power turbine,v53518117,7.3.3,777479.0
2009,Ontario,"Electricity producer, private electric utilities",Wind power turbine,v53518117,7.3.3,1084429.0
2010,Ontario,"Electricity producer, private electric utilities",Wind power turbine,v53518117,7.3.3,1124029.0
2011,Ontario,"Electricity producer, private electric utilities",Wind power turbine,v53518117,7.3.3,1612049.0
2012,Ontario,"Electricity producer, private electric utilities",Wind power turbine,v53518117,7.3.3,..
2013,Ontario,"Electricity producer, private electric utilities",Wind power turbine,v53518117,7.3.3,1776239.0
2014,Ontario,"Electricity producer, private electric utilities",Wind power turbine,v53518117,7.3.3,1832239.0
2015,Ontario,"Electricity producer, private electric utilities",Wind power turbine,v53518117,7.3.3,2338179.0
2010,Ontario,"Electricity producer, private electric utilities",Solar power turbine,v105775413,7.3.5,..
2011,Ontario,"Electricity producer, private electric utilities",Solar power turbine,v105775413,7.3.5,85000.0
2012,Ontario,"Electricity producer, private electric utilities",Solar power turbine,v105775413,7.3.5,..
2013,Ontario,"Electricity producer, private electric utilities",Solar power turbine,v105775413,7.3.5,103500.0
2014,Ontario,"Electricity producer, private electric utilities",Solar power turbine,v105775413,7.3.5,171900.0
2015,Ontario,"Electricity producer, private electric utilities",Solar power turbine,v105775413,7.3.5,171900.0
2006,Ontario,"Electricity producer, private electric utilities",Total thermal,v53518118,7.3.6,7693506.0
2007,Ontario,"Electricity producer, private electric utilities",Total thermal,v53518118,7.3.6,7354406.0
2008,Ontario,"Electricity producer, private electric utilities",Total thermal,v53518118,7.3.6,7387206.0
2009,Ontario,"Electricity producer, private electric utilities",Total thermal,v53518118,7.3.6,8377726.0
2010,Ontario,"Electricity producer, private electric utilities",Total thermal,v53518118,7.3.6,8427226.0
2011,Ontario,"Electricity producer, private electric utilities",Total thermal,v53518118,7.3.6,8773826.0
2012,Ontario,"Electricity producer, private electric utilities",Total thermal,v53518118,7.3.6,..
2013,Ontario,"Electricity producer, private electric utilities",Total thermal,v53518118,7.3.6,10676026.0
2014,Ontario,"Electricity producer, private electric utilities",Total thermal,v53518118,7.3.6,11599326.0
2015,Ontario,"Electricity producer, private electric utilities",Total thermal,v53518118,7.3.6,11683138.0
2006,Ontario,"Electricity producer, private electric utilities",Conventional steam turbine,v53518119,7.3.7,1051000.0
2007,Ontario,"Electricity producer, private electric utilities",Conventional steam turbine,v53518119,7.3.7,976500.0
2008,Ontario,"Electricity producer, private electric utilities",Conventional steam turbine,v53518119,7.3.7,1048800.0
2009,Ontario,"Electricity producer, private electric utilities",Conventional steam turbine,v53518119,7.3.7,1503350.0
2010,Ontario,"Electricity producer, private electric utilities",Conventional steam turbine,v53518119,7.3.7,1552850.0
2011,Ontario,"Electricity producer, private electric utilities",Conventional steam turbine,v53518119,7.3.7,1522700.0
2012,Ontario,"Electricity producer, private electric utilities",Conventional steam turbine,v53518119,7.3.7,..
2013,Ontario,"Electricity producer, private electric utilities",Conventional steam turbine,v53518119,7.3.7,1489600.0
2014,Ontario,"Electricity producer, private electric utilities",Conventional steam turbine,v53518119,7.3.7,1817600.0
2015,Ontario,"Electricity producer, private electric utilities",Conventional steam turbine,v53518119,7.3.7,1780300.0
2006,Ontario,"Electricity producer, private electric utilities",Nuclear steam turbine,v53518120,7.3.8,5010000.0
2007,Ontario,"Electricity producer, private electric utilities",Nuclear steam turbine,v53518120,7.3.8,5010000.0
2008,Ontario,"Electricity producer, private electric utilities",Nuclear steam turbine,v53518120,7.3.8,5010000.0
2009,Ontario,"Electricity producer, private electric utilities",Nuclear steam turbine,v53518120,7.3.8,5010000.0
2010,Ontario,"Electricity producer, private electric utilities",Nuclear steam turbine,v53518120,7.3.8,5010000.0
2011,Ontario,"Electricity producer, private electric utilities",Nuclear steam turbine,v53518120,7.3.8,5010000.0
2012,Ontario,"Electricity producer, private electric utilities",Nuclear steam turbine,v53518120,7.3.8,..
2013,Ontario,"Electricity producer, private electric utilities",Nuclear steam turbine,v53518120,7.3.8,6348000.0
2014,Ontario,"Electricity producer, private electric utilities",Nuclear steam turbine,v53518120,7.3.8,6348000.0
2015,Ontario,"Electricity producer, private electric utilities",Nuclear steam turbine,v53518120,7.3.8,6348000.0
2006,Ontario,"Electricity producer, private electric utilities",Combustion turbine,v53518121,7.3.9,1604381.0
2007,Ontario,"Electricity producer, private electric utilities",Combustion turbine,v53518121,7.3.9,1348281.0
2008,Ontario,"Electricity producer, private electric utilities",Combustion turbine,v53518121,7.3.9,1308781.0
2009,Ontario,"Electricity producer, private electric utilities",Combustion turbine,v53518121,7.3.9,1829551.0
2010,Ontario,"Electricity producer, private electric utilities",Combustion turbine,v53518121,7.3.9,1829551.0
2011,Ontario,"Electricity producer, private electric utilities",Combustion turbine,v53518121,7.3.9,2206301.0
2012,Ontario,"Electricity producer, private electric utilities",Combustion turbine,v53518121,7.3.9,..
2013,Ontario,"Electricity producer, private electric utilities",Combustion turbine,v53518121,7.3.9,2803601.0
2014,Ontario,"Electricity producer, private electric utilities",Combustion turbine,v53518121,7.3.9,3392601.0
2015,Ontario,"Electricity producer, private electric utilities",Combustion turbine,v53518121,7.3.9,3512650.0
2006,Ontario,"Electricity producer, private electric utilities",Internal combustion turbine,v53518115,7.3.10,28125.0
2007,Ontario,"Electricity producer, private electric utilities",Internal combustion turbine,v53518115,7.3.10,19625.0
2008,Ontario,"Electricity producer, private electric utilities",Internal combustion turbine,v53518115,7.3.10,19625.0
2009,Ontario,"Electricity producer, private electric utilities",Internal combustion turbine,v53518115,7.3.10,34825.0
2010,Ontario,"Electricity producer, private electric utilities",Internal combustion turbine,v53518115,7.3.10,34825.0
2011,Ontario,"Electricity producer, private electric utilities",Internal combustion turbine,v53518115,7.3.10,34825.0
2012,Ontario,"Electricity producer, private electric utilities",Internal combustion turbine,v53518115,7.3.10,..
2013,Ontario,"Electricity producer, private electric utilities",Internal combustion turbine,v53518115,7.3.10,34825.0
2014,Ontario,"Electricity producer, private electric utilities",Internal combustion turbine,v53518115,7.3.10,41125.0
2015,Ontario,"Electricity producer, private electric utilities",Internal combustion turbine,v53518115,7.3.10,42188.0
2006,Ontario,"Electricity producer, industries",Total installed capacity,v53518122,7.4.1,779305.0
2007,Ontario,"Electricity producer, industries",Total installed capacity,v53518122,7.4.1,737150.0
2008,Ontario,"Electricity producer, industries",Total installed capacity,v53518122,7.4.1,739650.0
2009,Ontario,"Electricity producer, industries",Total installed capacity,v53518122,7.4.1,741660.0
2010,Ontario,"Electricity producer, industries",Total installed capacity,v53518122,7.4.1,765260.0
2011,Ontario,"Electricity producer, industries",Total installed capacity,v53518122,7.4.1,819900.0
2012,Ontario,"Electricity producer, industries",Total installed capacity,v53518122,7.4.1,..
2013,Ontario,"Electricity producer, industries",Total installed capacity,v53518122,7.4.1,1001100.0
2014,Ontario,"Electricity producer, industries",Total installed capacity,v53518122,7.4.1,1058735.0
2015,Ontario,"Electricity producer, industries",Total installed capacity,v53518122,7.4.1,1120059.0
2006,Ontario,"Electricity producer, industries",Hydraulic turbine,v53518124,7.4.2,271730.0
2007,Ontario,"Electricity producer, industries",Hydraulic turbine,v53518124,7.4.2,270700.0
2008,Ontario,"Electricity producer, industries",Hydraulic turbine,v53518124,7.4.2,273200.0
2009,Ontario,"Electricity producer, industries",Hydraulic turbine,v53518124,7.4.2,276210.0
2010,Ontario,"Electricity producer, industries",Hydraulic turbine,v53518124,7.4.2,299810.0
2011,Ontario,"Electricity producer, industries",Hydraulic turbine,v53518124,7.4.2,299810.0
2012,Ontario,"Electricity producer, industries",Hydraulic turbine,v53518124,7.4.2,..
2013,Ontario,"Electricity producer, industries",Hydraulic turbine,v53518124,7.4.2,278610.0
2014,Ontario,"Electricity producer, industries",Hydraulic turbine,v53518124,7.4.2,243690.0
2015,Ontario,"Electricity producer, industries",Hydraulic turbine,v53518124,7.4.2,271564.0
2006,Ontario,"Electricity producer, industries",Wind power turbine,v53518125,7.4.3,600.0
2007,Ontario,"Electricity producer, industries",Wind power turbine,v53518125,7.4.3,600.0
2008,Ontario,"Electricity producer, industries",Wind power turbine,v53518125,7.4.3,600.0
2009,Ontario,"Electricity producer, industries",Wind power turbine,v53518125,7.4.3,600.0
2010,Ontario,"Electricity producer, industries",Wind power turbine,v53518125,7.4.3,600.0
2011,Ontario,"Electricity producer, industries",Wind power turbine,v53518125,7.4.3,600.0
2012,Ontario,"Electricity producer, industries",Wind power turbine,v53518125,7.4.3,..
2013,Ontario,"Electricity producer, industries",Wind power turbine,v53518125,7.4.3,600.0
2014,Ontario,"Electricity producer, industries",Wind power turbine,v53518125,7.4.3,600.0
2015,Ontario,"Electricity producer, industries",Wind power turbine,v53518125,7.4.3,600.0
2006,Ontario,"Electricity producer, industries",Total thermal,v53518126,7.4.6,506975.0
2007,Ontario,"Electricity producer, industries",Total thermal,v53518126,7.4.6,465850.0
2008,Ontario,"Electricity producer, industries",Total thermal,v53518126,7.4.6,465850.0
2009,Ontario,"Electricity producer, industries",Total thermal,v53518126,7.4.6,464850.0
2010,Ontario,"Electricity producer, industries",Total thermal,v53518126,7.4.6,464850.0
2011,Ontario,"Electricity producer, industries",Total thermal,v53518126,7.4.6,519490.0
2012,Ontario,"Electricity producer, industries",Total thermal,v53518126,7.4.6,..
2013,Ontario,"Electricity producer, industries",Total thermal,v53518126,7.4.6,721890.0
2014,Ontario,"Electricity producer, industries",Total thermal,v53518126,7.4.6,814445.0
2015,Ontario,"Electricity producer, industries",Total thermal,v53518126,7.4.6,847895.0
2006,Ontario,"Electricity producer, industries",Conventional steam turbine,v53518127,7.4.7,294950.0
2007,Ontario,"Electricity producer, industries",Conventional steam turbine,v53518127,7.4.7,258950.0
2008,Ontario,"Electricity producer, industries",Conventional steam turbine,v53518127,7.4.7,258950.0
2009,Ontario,"Electricity producer, industries",Conventional steam turbine,v53518127,7.4.7,244950.0
2010,Ontario,"Electricity producer, industries",Conventional steam turbine,v53518127,7.4.7,244950.0
2011,Ontario,"Electricity producer, industries",Conventional steam turbine,v53518127,7.4.7,269950.0
2012,Ontario,"Electricity producer, industries",Conventional steam turbine,v53518127,7.4.7,..
2013,Ontario,"Electricity producer, industries",Conventional steam turbine,v53518127,7.4.7,328350.0
2014,Ontario,"Electricity producer, industries",Conventional steam turbine,v53518127,7.4.7,330465.0
2015,Ontario,"Electricity producer, industries",Conventional steam turbine,v53518127,7.4.7,357165.0
2006,Ontario,"Electricity producer, industries",Combustion turbine,v53518128,7.4.9,199000.0
2007,Ontario,"Electricity producer, industries",Combustion turbine,v53518128,7.4.9,199000.0
2008,Ontario,"Electricity producer, industries",Combustion turbine,v53518128,7.4.9,199000.0
2009,Ontario,"Electricity producer, industries",Combustion turbine,v53518128,7.4.9,212000.0
2010,Ontario,"Electricity producer, industries",Combustion turbine,v53518128,7.4.9,212000.0
2011,Ontario,"Electricity producer, industries",Combustion turbine,v53518128,7.4.9,214700.0
2012,Ontario,"Electricity producer, industries",Combustion turbine,v53518128,7.4.9,..
2013,Ontario,"Electricity producer, industries",Combustion turbine,v53518128,7.4.9,385100.0
2014,Ontario,"Electricity producer, industries",Combustion turbine,v53518128,7.4.9,335900.0
2015,Ontario,"Electricity producer, industries",Combustion turbine,v53518128,7.4.9,342650.0
2006,Ontario,"Electricity producer, industries",Internal combustion turbine,v53518123,7.4.10,13025.0
2007,Ontario,"Electricity producer, industries",Internal combustion turbine,v53518123,7.4.10,7900.0
2008,Ontario,"Electricity producer, industries",Internal combustion turbine,v53518123,7.4.10,7900.0
2009,Ontario,"Electricity producer, industries",Internal combustion turbine,v53518123,7.4.10,7900.0
2010,Ontario,"Electricity producer, industries",Internal combustion turbine,v53518123,7.4.10,7900.0
2011,Ontario,"Electricity producer, industries",Internal combustion turbine,v53518123,7.4.10,34840.0
2012,Ontario,"Electricity producer, industries",Internal combustion turbine,v53518123,7.4.10,..
2013,Ontario,"Electricity producer, industries",Internal combustion turbine,v53518123,7.4.10,8440.0
2014,Ontario,"Electricity producer, industries",Internal combustion turbine,v53518123,7.4.10,148080.0
2015,Ontario,"Electricity producer, industries",Internal combustion turbine,v53518123,7.4.10,148080.0
2006,Manitoba,Total all classes of electricity producer,Total installed capacity,v53518129,8.1.1,5629007.0
2007,Manitoba,Total all classes of electricity producer,Total installed capacity,v53518129,8.1.1,5624438.0
2008,Manitoba,Total all classes of electricity producer,Total installed capacity,v53518129,8.1.1,5624358.0
2009,Manitoba,Total all classes of electricity producer,Total installed capacity,v53518129,8.1.1,5639918.0
2010,Manitoba,Total all classes of electricity producer,Total installed capacity,v53518129,8.1.1,5659340.0
2011,Manitoba,Total all classes of electricity producer,Total installed capacity,v53518129,8.1.1,5693090.0
2012,Manitoba,Total all classes of electricity producer,Total installed capacity,v53518129,8.1.1,..
2013,Manitoba,Total all classes of electricity producer,Total installed capacity,v53518129,8.1.1,6028380.0
2014,Manitoba,Total all classes of electricity producer,Total installed capacity,v53518129,8.1.1,6187660.0
2015,Manitoba,Total all classes of electricity producer,Total installed capacity,v53518129,8.1.1,6201680.0
2006,Manitoba,Total all classes of electricity producer,Hydraulic turbine,v53518131,8.1.2,5024372.0
2007,Manitoba,Total all classes of electricity producer,Hydraulic turbine,v53518131,8.1.2,5025448.0
2008,Manitoba,Total all classes of electricity producer,Hydraulic turbine,v53518131,8.1.2,5025368.0
2009,Manitoba,Total all classes of electricity producer,Hydraulic turbine,v53518131,8.1.2,5040928.0
2010,Manitoba,Total all classes of electricity producer,Hydraulic turbine,v53518131,8.1.2,5054210.0
2011,Manitoba,Total all classes of electricity producer,Hydraulic turbine,v53518131,8.1.2,5054210.0
2012,Manitoba,Total all classes of electricity producer,Hydraulic turbine,v53518131,8.1.2,..
2013,Manitoba,Total all classes of electricity producer,Hydraulic turbine,v53518131,8.1.2,5269270.0
2014,Manitoba,Total all classes of electricity producer,Hydraulic turbine,v53518131,8.1.2,5395100.0
2015,Manitoba,Total all classes of electricity producer,Hydraulic turbine,v53518131,8.1.2,5401860.0
2006,Manitoba,Total all classes of electricity producer,Wind power turbine,v53518132,8.1.3,103950.0
2007,Manitoba,Total all classes of electricity producer,Wind power turbine,v53518132,8.1.3,103950.0
2008,Manitoba,Total all classes of electricity producer,Wind power turbine,v53518132,8.1.3,103950.0
2009,Manitoba,Total all classes of electricity producer,Wind power turbine,v53518132,8.1.3,103950.0
2010,Manitoba,Total all classes of electricity producer,Wind power turbine,v53518132,8.1.3,103950.0
2011,Manitoba,Total all classes of electricity producer,Wind power turbine,v53518132,8.1.3,103950.0
2012,Manitoba,Total all classes of electricity producer,Wind power turbine,v53518132,8.1.3,..
2013,Manitoba,Total all classes of electricity producer,Wind power turbine,v53518132,8.1.3,241950.0
2014,Manitoba,Total all classes of electricity producer,Wind power turbine,v53518132,8.1.3,241950.0
2015,Manitoba,Total all classes of electricity producer,Wind power turbine,v53518132,8.1.3,241950.0
2006,Manitoba,Total all classes of electricity producer,Total thermal,v53518133,8.1.6,500685.0
2007,Manitoba,Total all classes of electricity producer,Total thermal,v53518133,8.1.6,495040.0
2008,Manitoba,Total all classes of electricity producer,Total thermal,v53518133,8.1.6,495040.0
2009,Manitoba,Total all classes of electricity producer,Total thermal,v53518133,8.1.6,495040.0
2010,Manitoba,Total all classes of electricity producer,Total thermal,v53518133,8.1.6,501180.0
2011,Manitoba,Total all classes of electricity producer,Total thermal,v53518133,8.1.6,534930.0
2012,Manitoba,Total all classes of electricity producer,Total thermal,v53518133,8.1.6,..
2013,Manitoba,Total all classes of electricity producer,Total thermal,v53518133,8.1.6,517160.0
2014,Manitoba,Total all classes of electricity producer,Total thermal,v53518133,8.1.6,550610.0
2015,Manitoba,Total all classes of electricity producer,Total thermal,v53518133,8.1.6,557870.0
2006,Manitoba,Total all classes of electricity producer,Conventional steam turbine,v53518134,8.1.7,119500.0
2007,Manitoba,Total all classes of electricity producer,Conventional steam turbine,v53518134,8.1.7,119250.0
2008,Manitoba,Total all classes of electricity producer,Conventional steam turbine,v53518134,8.1.7,245250.0
2009,Manitoba,Total all classes of electricity producer,Conventional steam turbine,v53518134,8.1.7,245250.0
2010,Manitoba,Total all classes of electricity producer,Conventional steam turbine,v53518134,8.1.7,249570.0
2011,Manitoba,Total all classes of electricity producer,Conventional steam turbine,v53518134,8.1.7,283320.0
2012,Manitoba,Total all classes of electricity producer,Conventional steam turbine,v53518134,8.1.7,..
2013,Manitoba,Total all classes of electricity producer,Conventional steam turbine,v53518134,8.1.7,265160.0
2014,Manitoba,Total all classes of electricity producer,Conventional steam turbine,v53518134,8.1.7,272640.0
2015,Manitoba,Total all classes of electricity producer,Conventional steam turbine,v53518134,8.1.7,279900.0
2006,Manitoba,Total all classes of electricity producer,Combustion turbine,v53518135,8.1.9,371670.0
2007,Manitoba,Total all classes of electricity producer,Combustion turbine,v53518135,8.1.9,365420.0
2008,Manitoba,Total all classes of electricity producer,Combustion turbine,v53518135,8.1.9,239420.0
2009,Manitoba,Total all classes of electricity producer,Combustion turbine,v53518135,8.1.9,239420.0
2010,Manitoba,Total all classes of electricity producer,Combustion turbine,v53518135,8.1.9,241240.0
2011,Manitoba,Total all classes of electricity producer,Combustion turbine,v53518135,8.1.9,241240.0
2012,Manitoba,Total all classes of electricity producer,Combustion turbine,v53518135,8.1.9,..
2013,Manitoba,Total all classes of electricity producer,Combustion turbine,v53518135,8.1.9,241630.0
2014,Manitoba,Total all classes of electricity producer,Combustion turbine,v53518135,8.1.9,267600.0
2015,Manitoba,Total all classes of electricity producer,Combustion turbine,v53518135,8.1.9,267600.0
2006,Manitoba,Total all classes of electricity producer,Internal combustion turbine,v53518130,8.1.10,9515.0
2007,Manitoba,Total all classes of electricity producer,Internal combustion turbine,v53518130,8.1.10,10370.0
2008,Manitoba,Total all classes of electricity producer,Internal combustion turbine,v53518130,8.1.10,10370.0
2009,Manitoba,Total all classes of electricity producer,Internal combustion turbine,v53518130,8.1.10,10370.0
2010,Manitoba,Total all classes of electricity producer,Internal combustion turbine,v53518130,8.1.10,10370.0
2011,Manitoba,Total all classes of electricity producer,Internal combustion turbine,v53518130,8.1.10,10370.0
2012,Manitoba,Total all classes of electricity producer,Internal combustion turbine,v53518130,8.1.10,..
2013,Manitoba,Total all classes of electricity producer,Internal combustion turbine,v53518130,8.1.10,10370.0
2014,Manitoba,Total all classes of electricity producer,Internal combustion turbine,v53518130,8.1.10,10370.0
2015,Manitoba,Total all classes of electricity producer,Internal combustion turbine,v53518130,8.1.10,10370.0
2006,Manitoba,"Electricity producer, public electric utilities",Total installed capacity,v53518136,8.2.1,5503057.0
2007,Manitoba,"Electricity producer, public electric utilities",Total installed capacity,v53518136,8.2.1,5498488.0
2008,Manitoba,"Electricity producer, public electric utilities",Total installed capacity,v53518136,8.2.1,5498408.0
2009,Manitoba,"Electricity producer, public electric utilities",Total installed capacity,v53518136,8.2.1,5513968.0
2010,Manitoba,"Electricity producer, public electric utilities",Total installed capacity,v53518136,8.2.1,5533390.0
2011,Manitoba,"Electricity producer, public electric utilities",Total installed capacity,v53518136,8.2.1,5533390.0
2012,Manitoba,"Electricity producer, public electric utilities",Total installed capacity,v53518136,8.2.1,..
2013,Manitoba,"Electricity producer, public electric utilities",Total installed capacity,v53518136,8.2.1,5744430.0
2014,Manitoba,"Electricity producer, public electric utilities",Total installed capacity,v53518136,8.2.1,5901710.0
2015,Manitoba,"Electricity producer, public electric utilities",Total installed capacity,v53518136,8.2.1,5917330.0
2006,Manitoba,"Electricity producer, public electric utilities",Hydraulic turbine,v53518138,8.2.2,5024372.0
2007,Manitoba,"Electricity producer, public electric utilities",Hydraulic turbine,v53518138,8.2.2,5025448.0
2008,Manitoba,"Electricity producer, public electric utilities",Hydraulic turbine,v53518138,8.2.2,5025368.0
2009,Manitoba,"Electricity producer, public electric utilities",Hydraulic turbine,v53518138,8.2.2,5040928.0
2010,Manitoba,"Electricity producer, public electric utilities",Hydraulic turbine,v53518138,8.2.2,5054210.0
2011,Manitoba,"Electricity producer, public electric utilities",Hydraulic turbine,v53518138,8.2.2,5054210.0
2012,Manitoba,"Electricity producer, public electric utilities",Hydraulic turbine,v53518138,8.2.2,..
2013,Manitoba,"Electricity producer, public electric utilities",Hydraulic turbine,v53518138,8.2.2,5269270.0
2014,Manitoba,"Electricity producer, public electric utilities",Hydraulic turbine,v53518138,8.2.2,5395100.0
2015,Manitoba,"Electricity producer, public electric utilities",Hydraulic turbine,v53518138,8.2.2,5401860.0
2006,Manitoba,"Electricity producer, public electric utilities",Total thermal,v53518139,8.2.6,478685.0
2007,Manitoba,"Electricity producer, public electric utilities",Total thermal,v53518139,8.2.6,473040.0
2008,Manitoba,"Electricity producer, public electric utilities",Total thermal,v53518139,8.2.6,473040.0
2009,Manitoba,"Electricity producer, public electric utilities",Total thermal,v53518139,8.2.6,473040.0
2010,Manitoba,"Electricity producer, public electric utilities",Total thermal,v53518139,8.2.6,479180.0
2011,Manitoba,"Electricity producer, public electric utilities",Total thermal,v53518139,8.2.6,479180.0
2012,Manitoba,"Electricity producer, public electric utilities",Total thermal,v53518139,8.2.6,..
2013,Manitoba,"Electricity producer, public electric utilities",Total thermal,v53518139,8.2.6,475160.0
2014,Manitoba,"Electricity producer, public electric utilities",Total thermal,v53518139,8.2.6,506610.0
2015,Manitoba,"Electricity producer, public electric utilities",Total thermal,v53518139,8.2.6,515470.0
2006,Manitoba,"Electricity producer, public electric utilities",Conventional steam turbine,v53518140,8.2.7,97500.0
2007,Manitoba,"Electricity producer, public electric utilities",Conventional steam turbine,v53518140,8.2.7,97250.0
2008,Manitoba,"Electricity producer, public electric utilities",Conventional steam turbine,v53518140,8.2.7,223250.0
2009,Manitoba,"Electricity producer, public electric utilities",Conventional steam turbine,v53518140,8.2.7,223250.0
2010,Manitoba,"Electricity producer, public electric utilities",Conventional steam turbine,v53518140,8.2.7,227570.0
2011,Manitoba,"Electricity producer, public electric utilities",Conventional steam turbine,v53518140,8.2.7,227570.0
2012,Manitoba,"Electricity producer, public electric utilities",Conventional steam turbine,v53518140,8.2.7,..
2013,Manitoba,"Electricity producer, public electric utilities",Conventional steam turbine,v53518140,8.2.7,223160.0
2014,Manitoba,"Electricity producer, public electric utilities",Conventional steam turbine,v53518140,8.2.7,228640.0
2015,Manitoba,"Electricity producer, public electric utilities",Conventional steam turbine,v53518140,8.2.7,237500.0
2006,Manitoba,"Electricity producer, public electric utilities",Combustion turbine,v53518141,8.2.9,371670.0
2007,Manitoba,"Electricity producer, public electric utilities",Combustion turbine,v53518141,8.2.9,365420.0
2008,Manitoba,"Electricity producer, public electric utilities",Combustion turbine,v53518141,8.2.9,239420.0
2009,Manitoba,"Electricity producer, public electric utilities",Combustion turbine,v53518141,8.2.9,239420.0
2010,Manitoba,"Electricity producer, public electric utilities",Combustion turbine,v53518141,8.2.9,241240.0
2011,Manitoba,"Electricity producer, public electric utilities",Combustion turbine,v53518141,8.2.9,241240.0
2012,Manitoba,"Electricity producer, public electric utilities",Combustion turbine,v53518141,8.2.9,..
2013,Manitoba,"Electricity producer, public electric utilities",Combustion turbine,v53518141,8.2.9,241630.0
2014,Manitoba,"Electricity producer, public electric utilities",Combustion turbine,v53518141,8.2.9,267600.0
2015,Manitoba,"Electricity producer, public electric utilities",Combustion turbine,v53518141,8.2.9,267600.0
2006,Manitoba,"Electricity producer, public electric utilities",Internal combustion turbine,v53518137,8.2.10,9515.0
2007,Manitoba,"Electricity producer, public electric utilities",Internal combustion turbine,v53518137,8.2.10,10370.0
2008,Manitoba,"Electricity producer, public electric utilities",Internal combustion turbine,v53518137,8.2.10,10370.0
2009,Manitoba,"Electricity producer, public electric utilities",Internal combustion turbine,v53518137,8.2.10,10370.0
2010,Manitoba,"Electricity producer, public electric utilities",Internal combustion turbine,v53518137,8.2.10,10370.0
2011,Manitoba,"Electricity producer, public electric utilities",Internal combustion turbine,v53518137,8.2.10,10370.0
2012,Manitoba,"Electricity producer, public electric utilities",Internal combustion turbine,v53518137,8.2.10,..
2013,Manitoba,"Electricity producer, public electric utilities",Internal combustion turbine,v53518137,8.2.10,10370.0
2014,Manitoba,"Electricity producer, public electric utilities",Internal combustion turbine,v53518137,8.2.10,10370.0
2015,Manitoba,"Electricity producer, public electric utilities",Internal combustion turbine,v53518137,8.2.10,10370.0
2006,Manitoba,"Electricity producer, private electric utilities",Total installed capacity,v53518142,8.3.1,103950.0
2007,Manitoba,"Electricity producer, private electric utilities",Total installed capacity,v53518142,8.3.1,103950.0
2008,Manitoba,"Electricity producer, private electric utilities",Total installed capacity,v53518142,8.3.1,103950.0
2009,Manitoba,"Electricity producer, private electric utilities",Total installed capacity,v53518142,8.3.1,103950.0
2010,Manitoba,"Electricity producer, private electric utilities",Total installed capacity,v53518142,8.3.1,103950.0
2011,Manitoba,"Electricity producer, private electric utilities",Total installed capacity,v53518142,8.3.1,103950.0
2012,Manitoba,"Electricity producer, private electric utilities",Total installed capacity,v53518142,8.3.1,..
